Estonian;English;Progress
////Section:1;Hello!;0
ema, ema, ema;mother
Kell on …;It's … (lit Clock is …)
Mis kell on?;What's the time? (lit What's the clock?)
Mis?;What?
üks, ühe, üht(e);one
juba;already
seitse, seitsme, seitset;seven
Kui palju …?;How much …?
pool, poole, poolt;half
pool seitse;half past six (lit half towards seven)
hetk, hetke, hetke;moment
kolm, kolme, kolme;three
reisi/saatja, reisi/saatja, reisi/saatjat;conductor
reisija, reisija, reisijat;passenger
vaatan;I look
Üks hetk.;Just a moment(lit one moment)
kaks/teist, kahe/teist/kümne, kaht/teist/kümmet;twelve
kolmveerand kaksteist;quarter to twelve (lit three quarters to twelve)
Piret, Pireti, Piretit;Piret (female name)
Ülle, Ülle, Üllet;Ülle (female name)
////Section:2;Let's get acquainted!;0
Epp, Epu, Eppu;Epp (female name)
koer, koera, koera;dog
mina (ma), minu (mu), mind;I
Muki, Muki, Mukit;Muki (dog's name)
nunnu, nunnu, nunnut;cute
Peep, Peebu, Peepu;Peep (male name)
Peeter, Peetri, Peetrit;Peeter (male name)
see, selle, seda;this, it
tema (ta), tema (ta), teda;he, she
Tiina, Tiina, Tiinat;Tiina (female name)
direktor, direktori, direktorit;headmaster, director
ja;and
Maarja, Maarja, Maarjat;Maarja (female name)
Maria, Maria, Mariat;Maria (female name)
meeldiv, meeldiva, meeldivat;pleasant
Saage tuttavaks!;Please get acquainted!
sama, sama, sama;same
Samad sõnad!;Nice to meet you too! (lit [The same words!)
sõna, sõna, sõna;word
väga;very
Väga meeldiv!;Nice to meet you! (lit Very pleasant!)
õpetaja, õpetaja, õpetajat;teacher
õuna/puu, õuna/puu, õuna/puud;apple tree
Anna, Anna, Annat;Anna (female name)
Anton, Antoni, Antonit;Anton (male name)
ei ole;"negative form of the verb "" to be"""
õpilane, õpilase, õpilast;student, pupil
Anu-Liis , Anu-Liisi, Anu-Liisi;Anu-Liis (female name)
karu, karu, karu;bear
Kristjan , Kristjani, Kristjanit;Kristjan (male name)
me (meie), me (meie), meid;we
rebane, rebase, rebast;fox
varem;earlier
vist;probably, maybe, likely
eesti keel, eesti keele, eesti keelt;Estonian (language)
Kas?;interrogative particle used in questions
räägin;I speak
Räägin küll.;Yes I do(lit I speak, yes.)
te (teie), te (teie), teid;you (plural)
sa;you (singular)
aga;but
Aga sina?;What about you? (sing, informal)
inglise keel, inglise keele, inglise keelt;English
ka;also, too, as well
kahjuks;unfortunately
sina;you (singular)
saan aru;I understand
turist, turisti, turisti;tourist
võõras, võõra, võõrast;stranger
huvitav, huvitava, huvitavat;interesting
Kui huvitav!;How interesting!
läti keel, läti keele, läti keelt;Latvian
Oskan küll.;I do indeed.
Tõesti?;Really?
minu;my
nimi, nime, nime;name
Tiia, Tiia, Tiiat;Tiia (female name)
üli/õpilane, üli/õpilase, üli/õpilast;student
Kristofer, Kristoferi, Kristoferit;Kristofer (male name)
Kuule!;Listen!
Liisa, Liisa, Liisat;Liisa (female name)
Mattias, Mattiase, Mattiast;Mattias (male name)
sinu;your, yours
su;your, yours
ilus, ilusa, ilusat;beautiful, pretty,handsome, nice
Johannes, Johannese, Johannest;Johannes (male name)
Marianne, Marianne, Mariannet;Marianne (female name)
Mhmh.;Mhm.
nii;so, such
Nii ilus nimi!;Such a beautiful name!
ees/nimi, ees/nime, ees/nime;first name
Kuidas?;What?
number, numbri, numbrit;number
perekonna/nimi, perekonna/nime, perekonna/nime;surname, family name
dokumendid;documents
Jaana, Jaana, Jaanat;Jaana (female name)
Kes?;Who?
lind, linnu, lindu;bird
Ahah.;OK, I see, aha
Ivan, Ivani, Ivani;Ivan (male name)
kahe e-ga;"with two "" e""-s"
Lena, Lena, Lenat;Lena (female name)
lihtsalt;just, simply
ühe e-ga;"with one "" e"""
põder, põdra, põtra;moose
giid, giidi, giidi;tourist guide
ikka;of course, always
jaam, jaama, jaama;station
jama, jama, jama;trouble, nonsense
Ongi nii või?;Is that so?
////Section:3;Let's get together!;0
hästi;fine, alright
Jaanus, Jaanuse, Jaanust;Jaanus (male name)
Kuidas läheb?;How are you?
Tänan küsimast!;Thanks for asking!
Annika, Annika, Annikat;Annika (female name)
Leili, Leili, Leilit;Leili (female name)
normaalselt;fine, OK (lit normally)
arst, arsti, arsti;doctor
elama, ela/da, ela/n;to live
kuidas;how
Kuidas elate?;How are you (pl, formal)? (lit How are you living?)
patsient, patsiendi, patsienti;patient
suurepäraselt;wonderfully
halvasti;badly, poorly
Kuidas sul läheb?;How are you?
Mikk, Miku, Mikku;Mikk (male name)
paha;bad
Paha lugu!;I'm sorry to hear that! (lit Bad story!)
pea, pea, pead;head
valutama, valuta/da, valuta/b;to ache, to hurt
Aleks, Aleksi, Aleksit;Aleks (male name)
kus;where
Kus sa oled?;Where are you?
Leena, Leena, Leenat;Leena (female name)
praegu;now, at the moment
Tallinn , Tallinna, Tallinna;Tallinn
Tallinnas;in Tallinn
vahva, vahva, vahvat;great, cool
Väga vahva!;That's great! (lit very great)
Hallo!;Hello! (on the phone)
hetkel;now, at the moment
homme;tomorrow
Mari, Mari, Marit;Mari (female name)
Mihkel, Mihkli, Mihklit;Mihkel (male name)
siin;here
Soome, Soome, Soomet;Finland
Soomes;in Finland
Diana, Diana, Dianat;Diana (female name)
Eesti , Eesti, Eestit;Estonia
Eestis;in Estonia
Jürgen, Jürgeni, Jürgenit;Jürgen (male name)
Vene/maa , Vene/maa, Vene/maad;Russia
Vene/maal;in Russia
härra, härra, härrat;mister
Kus te olete?;Where are you? (pl, formal)
Ma tulen kohe.;I will come at once.
ootama, ooda/ta, oota/n;to wait
Pagan küll!;Damn!
sekretär, sekretäri, sekretäri;secretary
Silla/mäe , Silla/mäe, Silla/mäed;Sillamäe (Estonian place name)
Silla/mäel;in Sillamäe
täna;today
Aafrika , Aafrika, Aafrikat;Africa
Aafrikas;in Africa
Kas Teele kuuleb?;Is Teele there? (lit Is Teele hearing?)
kuulma, kuul/da, kuule/n;to hear
Ma ei saa praegu rääkida.;I can't speak right now.
Raul, Rauli, Rauli;Raul (male name)
Teele, Teele, Teelet;Teele (female name)
Väga lahe!;That's very cool!
aadress, aadressi, aadressi;address
kesk/linn , kesk/linna, kesk/linna;city centre
kesk/linnas;in the city centre
Kus sa elad?;Where do you live? (sing, informal)
Ma viin su ära.;I'll take you there.
maan/tee, maan/tee, maan/teed;road, highway
Mis su aadress on?;What is your address?
Narva , Narva, Narvat;Narva (Estonian place name)
Narva maan/tee;Narva Road
Jaanika, Jaanika, Jaanikat;Jaanika (female name)
Kaire, Kaire, Kairet;Kaire (female name)
maja, maja, maja;house, building
Musta/mäe, Musta/mäe, Musta/mäed;Mustamäe
Musta/mäel;in Mustamäe
Siin majas või?;In this house, I assume?
Tohoh!;Oho!
puies/tee, puies/tee, puies/teed;road, avenue
sõprus , sõpruse, sõprust;friendship
Sõpruse puies/tee;Sõpruse Road
takso/juht, takso/juhi,takso/juhti;taxi driver
järgmine, järgmise, järgmist;next
Järgmine palun.;Next, please.
Kalda tee;Kalda Road
tee, tee, teed;tea, also: road, path
Hmm.;Hm.
ilusad roosid;beautiful roses
Kuidas palun?;Excuse me?
lille/müüja, lille/müüja, lille/müüjat;florist
Miks ka mitte?;Why not?
punane, punase, punast;red
roos, roosi, roosi;rose
soovima, soovi/da, soovi/n;to wish, to want
Soovite?;Would you like some? (lit you (pl, formal) wish?)
Karoliina, Karoliina, Karoliinat;Karoliina (female name)
kiiresti;fast, quickly
liiga;too
liiga kiiresti;too fast
Me ei saa aru.;I don't understand.
raamat, raamatu, raamatut;book
uus, uue, uut;new
komm , kommi, kommi;candy, sweet
kommid;candy, sweets
kompvek, kompveki, kompvekki;candy, sweets
kompvekid;candy, sweets
Mida see sõna tähendab?;What does this word mean?
Mida tähendab kompvekid?;"What does "" kompvekid"" mean?"
Mida?;What?
tähendama, tähenda/da, tähenda/b;to mean
aeglasemalt;slower
Kas nii on õigesti?;Is this correct?
Kirjuta üles!;Write [this] down!
null, nulli, nulli;zero
Oota!;Wait! (sing, informal)
viis/kümmend, viie/kümne, viit/kümmend;fifty
viis/kümmend seitse;fifty seven
viis/kümmend üks;fifty one
viis/sada üheksa;five hundred and nine
õigesti;correct
üles kirjutama, üles kirjuta/da, kirjuta/n üles;to write down
Ütle uuesti!;Say again! (sing, informal)
Korda palun!;Repeat, please! (sing, informal)
kordama, korra/ta, korda/n;to repeat, to go over, to revise
Ma ei kuule midagi.;I can't hear anything! (lit I don't hear anything!)
midagi;something, anything
palju;many, a lot of
Palju õnne sünnipäevaks!;Happy birthday! (lit Lots of luck fo birthday!)
Sirje, Sirje, Sirjet;Sirje (female name)
sünni/päev, sünni/päeva, sünni/päeva;birthday
Vello, Vello, Vellot;Vello (male name)
õnn, õnne, õnne;luck, happiness
////Section:4;One coffee, please!;0
kell kuus;at six o'clock
Kohtumiseni!;So long! See you!
kõrval;by, next to
külla tulema, külla tul/la, tule/n külla;to visit
Ma ei tea.;I don't know.
Millal?;When?
Näeme!;See you!
nägema, näh/a, näe/n;to see
pargi kõrval;by the park, next to the park
park, pargi, parki;park
reede õhtul;Friday evening
teadma, tead/a, tea/n;to know
Tore!;Great!
Tule külla!;Come visit me!
valges majas;in the white house
Aitäh kutsumast!;Thank you for the invitation!
hea meelega;with pleasure
Just!;Exactly!
Katrin, Katrini, Katrinit;Katrin (female name)
kell viis;five o'clock
kino, kino, kino;cinema, movie theatre
kino taga;behind the cinema
koht, koha, kohta;place, seat
kutsuma, kutsu/da, kutsu/n;to invite, to call, to ask
laupäeval;on Saturday
Mis kell?;At what time?
niisama;for no particular reason
näiteks;for instance
nüüd;now
selles kollases majas;in this yellow house
sul on;you (sing) have
taga;behind
Teeme nii!;Alright! (lit Let's do like that.)
uues kohas;in a new place
Viivika, Viivika, Viivikat;Viivika (female name)
Aksel, Akseli, Akselit;Aksel (male name)
hotell, hotelli, hotelli;hotel
Kalle, Kalle, Kallet;Kalle (male name)
kunagi;sometime, ever
Ma ei saa.;I can't.
Mida sina teed?;What are you (sing) doing?
Miks mitte!;Why not!
Mitte midagi erilist.;Nothing muchNothing special.
olen vaba;I'm free
selle uue hotelli vastas;opposite the new hotel
tegema, teh/a, tee/n;to do
tänama, täna/da, täna/n;to thank
vastas;opposite
kell seitse;at seven o'clock
Ootan sind!;I'll be expecting you!
plaan, plaani, plaani;plan
poeg, poja, poega;son
söök, söögi, sööki;food, meal
teine, teise, teist;other, second
teised plaanid;other plans
võib-olla;maybe
armastama, armasta/da, armasta/n;to love
jope, jope, jopet;jacket, coat
Kas sa armastad mind?;Do you love me?
need, nende, neid;these
sisse tulema, sisse tul/la, tule/n sisse;to come in
sulle;for you
Tule sisse!;Come in!
Võta jope ära!;Take your jacket off!
ära võtma, ära võt/ta, võta/n ära;to take off, to get
Astu sisse!;Come in! (lit Step in!)
king, kinga, kinga;shoe
kingad;shoes
mesi, mee, mett;honey
purk, purgi, purki;jar
purk mett;a jar of honey
sisse astuma, sisse astu/da, astu/n sisse;to come in, to step in
suss, sussi, sussi;slipper
sussid;slippers
Tere tulemast!;Welcome!
Tule edasi!;Come in! (lit Come forward!)
eks;right , yes, indeed, OK
jajah;right, yes
ohhoo;oho
Pane jope siia.;Put your jacket here.
pudel, pudeli, pudelit;bottle
pudel veini;a bottle of wine
vein, veini, veini;wine
Võta palun.;Please take
võtma, võt/ta, võta/n;to take
Kes seal on?;Who is it? (lit Who is there?)
lill, lille, lille;flower
lilled;flowers
ise, enda, end(ennast);yourself, herself, himself
kallis, kalli, kallist;dear
Mida sa ise jooksid?;What would you like to drink yourself?
pakkuma, pakku/da, paku/n;to offer
Kas sa tahaksid kooki?;Would you like some cake?
kook, koogi, kooki;cake
maitsev, maitsva, maitsvat;tasty
muidugi;of course
pigem;rather
tahtma, taht/a, taha/n;to want, to wish
Väga maitsev.;very tasty.
Aitab küll!;That's enough!
Sinu terviseks!;Cheers! (lit To your health!)
Terviseks!;Cheers!
täitsa;quite
valama, vala/da, vala/n;to pour
Võtaks veel!;I would like some more.
jaksama, jaksa/ta, jaksa/n;to be able to, to can
Kas sa tahaksid midagi muud?;Would you like something else?
Kas sulle ei maitse?;Don't you like it?
kõht, kõhu, kõhtu;stomach
Kõht on täis.;I'm full(lit Stomach is full.)
Ma rohkem ei soovi.;I don't want any more
Ma tõesti rohkem ei jaksa.;I really can't eat any more.
maitsema, maits/ta, maitse/b;to like (food)
midagi muud;something else
tõesti;really
täis;full
Võta ikka!;Please take [some]!
Võta veel!;Take some more!
baari/daam, baari/daami, baari/daami;barmaid
euro, euro, eurot;euro
gaas, gaasi, gaasi;gas
gaasiga;with gas
gaasita;without gas
ilma;without
ilma gaasita;without gas
kaart, kaardi, kaarti;(bank) card
Kas see on kõik?;Will that be all?
koor, koore, koort;cream
koorega kohv;coffee with cream
kõik, kõige, kõike;all, everything
maksan kaardiga;I will pay by (bank) card
maksma, maks/ta, maksa/n;to pay, to cost
Mida teile?;What will you have? (lit What for you (pl, formal)?
mineraal/vesi, mineraal/vee,mineraal/vett;mineral water
PIN-kood, PIN-koodi, PIN-koodi;PIN-code
pudel mineraal/vett;a bottle of mineral water
sent, sendi, senti;cent
teile;for you, to you (pl, formal)
ette/kandja, ette/kandja, ette/kandjat;waitress
Kas veel midagi?;Anything else?
kuulama, kuula/ta, kuula/n;to listen to
Ma kuulan teid.;I'm listening to you.
moos, moosi, moosi;jam
pann/koogid moosiga;pancakes with jam
pann/kook, pann/koogi,pann/kooki;pancake
See on kõik.;That's all.
tass, tassi, tassi;cup
tass rohelist teed;a cup of green tea
klaas, klaasi, klaasi;glass
klaas valget veini;a glass of white wine
See teeb kokku ...;"That comes to a total… This makes..."
tass kohvi;a cup of coffee
täpselt;exactly
hele, heleda, heledat;light (in colour)
hele õlu;light beer, ale
väike(ne), väik(e)se, väikest;small
õlu, õlle, õlut;beer
////Section:5;My family;0
ainult;only
ju;
Kah tore ju!;That's also nice!
Kas sul ei ole?;Don't you have?
kass , kassi, kassi;cat
kassid;cats
mul (minul) on;I have
neil (nendel) on;they have
nojah;well, yes
pere, pere, peret;family
tore, toreda, toredat;nice, great
Vaata!;Look!
vaatama, vaada/ta, vaata/n;to look
abi/elu, abi/elu, abi/elu;marriage
armas, armsa, armsat;lovely, sweet, cute
eelmine, eelmise, eelmist;previous
eelmisest abi/elust;from previous marriage
kodu, kodu, kodu;home
lapsed;children
mehel on;the man has
näitama, näida/ta, näita/n;to show
suvel;in the summer
sümpaatne, sümpaatse, sümpaatset;attractive, nice
tal on;he/she has
tütar, tütre, tütart;daughter
Viljandi/maa , Viljandi/maa, Viljandi/maad;Viljandi County
Viljandi/maal;in Viljandi County
mul ei ole;I don't have
Must/vee , Must/vee, Must/veed;Mustvee (Estonian place name)
Must/vees;in Mustvee
oma maja;one's own house
poiss, poisi, poissi;boy
sageli;often
seal;there
surnud;dead
suvi, suve, suve;summer
tüdruk, tüdruku, tüdrukut;girl
vana/ema, vana/ema, vana/ema;grandmother
vana/isa, vana/isa, vana/isa;grandfather
aasta, aasta, aastat;year
abi/elus;married
Arvata võib;One would assume so.
Mart, Mardi, Marti;Mart (male name)
mitu, mitme, mitut;several
mitu aastat;several years
muide;by the way
Mul on hea meel.;I'm glad
tubli, tubli, tublit;good, fine, great, hard-working
Vaata siis!;I see!
õnnelik, õnneliku, õnnelikku;happy, lucky, cheerful
Martin, Martini, Martinit;Martin (male name)
Merike(ne), Merikese, Merikest;Merike(ne) (female name)
Milline?;Which? What kind of?
Mitu?;How many?
Nii palju!;That many!
onu, onu, onu;uncle
tädi, tädi, tädi;aunt
vend, venna, venda;brother
õde, õe, õde;sister
Ahsoo!;Aha!
Ervin, Ervini, Ervinit;Ervin (male name)
lapse/laps, lapse/lapse, lapse/last;grandchild
Las ma mõtlen.;Let me think.
mõtlema , mõtel/da (mõel/da), mõtle/n;to think
Tõnis, Tõnise, Tõnist;Tõnis (male name)
vastu/pidi;on the contrary
Või nii;I see.
kaksikud;twins
sama/sugune, sama/suguse, sama/sugust;identical
Toomas, Toomase, Toomast;Toomas (male name)
Vaike, Vaike, Vaiket;Vaike (female name)
ameeriklane, ameeriklase, ameeriklast;American
Kust teie pärit olete?;Where are you from?
Kust?;Where from?
pärit olema, pärit ol/la, ole/n pärit;to come from
Rootsist;from Sweden
Susan, Susani, Susanit;Susan (female name)
Teil on õigus;You are right.
Vene/maalt;from Russia
õppima, õppi/da, õpi/n;to study, to learn
Andres, Andrese, Andrest;Andres (male name)
Andresest kaks aastat noorem;two years younger than Andres
just;exactly, just
Just nimelt!;Precisely!
Kui vana?;How old?
kõige noorem;the youngest
kõige vanem;the eldest
Margus, Marguse, Margust;Margus (male name)
noorem kui mina;younger than me
Sa oled kolm/kümmend viis.;You are thirty five.
sama vana kui mina;the same age as me
ta on … aastat vana;he/she is …years old
arvama, arva/ta, arva/n;to think, to guess, to reckon
et;that
ja-jaa;well yes
ma arvasin;I thought
Mul on pildid üleval;I've uploaded pictures
palju vanem;much older
pilt, pildi, pilti;picture
pool/vend, pool/venna,pool/venda;half-brother, step-brother
pool/vennad;half-brothers, step-brothers
põnev, põneva, põnevat;exciting
ta on minust … aastat vanem;He/She is … years older than me
uskumatu;unbelievable
vennad;brothers
Viktoria, Viktoria, Viktoriat;Viktoria (female name)
geograafia/õpetaja, geograafia/õpetaja, geograafia/õpetajat;geography teacher
geograafia/õpetajana;as geography teacher
Kellena?;As who?
koolis;at school
matemaatika/õpetaja, matemaatika/õpetaja, matemaatika/õpetajat;maths teacher
matemaatika/õpetajana;as maths teacher
töötama, tööta/da, tööta/n;to work
Andrei, Andrei, Andreid;Andrei (male name)
ehitaja, ehitaja, ehitajat;construction-worker
ekskavaatori/juhina;as excavator driver
ekskavaatori/juht, ekskavaatori/juhi, ekskavaatori/juhti;excavator driver
Hannes, Hannese, Hannest;Hannes (male name)
Irina, Irina, Irinat;Irina (female name)
juba mitu aastat;already for several years
kaevur, kaevuri, kaevurit;coal miner
kaevurina;as coal miner
karjäär , karjääri, karjääri;open-pit mine
karjääris;in an open-pit mine
Liina, Liina, Liinat;Liina (female name)
Marina, Marina, Marinat;Marina (female name)
med/õde, med/õe, med/õde;nurse
med/õena;as nurse
müüja , müüja, müüjat;shop assistant
müüjana;as shop assistant
nagu;as
Oleg, Olegi, Olegi;Oleg (male name)
raamatu/pidaja, raamatu/pidaja, raamatu/pidajat;book-keeper
raamatu/pidajana;as book-keeper
Sander, Sandri, Sandrit;Sander (male name)
Temal ei ole Eestis tööd.;He/She doesn't have job in Estonia.
töö, töö, tööd;work, job
töötu, töötu, töötut;unemployed
veduri/juhina;as locomotive engineer
veduri/juht, veduri/juhi,veduri/juhti;locomotive engineer
Ago, Ago, Agot;Ago (male name)
arvuti, arvuti, arvutit;computer
IT-spetsialist, IT-spetsialisti, IT-spetsialisti;IT specialist
Jüri, Jüri, Jürit;Jüri (male name)
Ma ei tea täpselt.;I don't know for sure.
Mis see tähendab?;What does it mean?
Mängib arvutiga.;He/She plays on the computer(lit plays with the computer)
mängima, mängi/da, mängi/n;to play
takso/juhina;as taxi driver
tööd tegema, tööd teh/a, tee/n tööd;to do work
Äge!;Cool!
////Section:6;My ordinary day;0
hommiku/söök, hommiku/söögi,hommiku/sööki;breakfast
hommikul;in the morning
juust, juustu, juustu;cheese
juustu/leib, juustu/leiva,juustu/leiba;cheese sandwich
kala/mari, kala/marja, kala/marja;caviar
kõike muud;anything else, everything else
leib, leiva, leiba;bread (made of rye)
liha, liha, liha;meat
muna, muna, muna;egg
muu, muu, muud;else, other
Oeh!;Oh well!
sink, singi, sinki;ham
taime/toitlane, taime/toitlase, taime/toitlast;vegetarian
vorst , vorsti, vorsti;sausage
vorsti/leib, vorsti/leiva,vorsti/leiba;sausage sandwich
Head isu!;Enjoy your meal! (lit Bon appétit!)
jogurt, jogurti, jogurtit;yoghurt
puder, pudru, putru;porridge
sool, soola, soola;salt
Tulge sööma!;Come eat! (pl)
Ulata soola!;Pass the salt! (sing, informal)
ulatama, ulata/da, ulata/n;to pass
apelsin, apelsini, apelsini;orange
apelsini/mahl, apelsini/mahla, apelsini/mahla;orange juice
hapu, hapu, haput;sour
jook, joogi, jooki;drink
jõhvika/jook, jõhvika/joogi,jõhvika/jooki;cranberry drink
jõhvikas, jõhvika, jõhvikat;cranberry
kasvama, kasva/da, kasva/n;to grow
kirsi/mahl, kirsi/mahla, kirsi/mahla;cherry juice
kirss, kirsi, kirssi;cherry
kodu/maine, kodu/maise, kodu/maist;locally grown, domestic
lahja, lahja, lahjat;weak, lean
magus, magusa, magusat;sweet
magusam;sweeter
mahl, mahla, mahla;juice
midagi kodu/maist;something locally grown
Mis mahla?;What juice?
Näe!;Look! See!
ostma, ost/a, osta/n;to buy
ploom , ploomi, ploomi;plum
ploomi/mahl, ploomi/mahla, ploomi/mahla;plum juice
õun, õuna, õuna;apple
õuna/mahl, õuna/mahla, õuna/mahla;apple juice
Heldeke!;Oh dear!
kohu/piim, kohu/piima, kohu/piima;curd, cottage cheese
kohu/piima/kook, kohu/piima/koogi,kohu/piima/kooki;cheese cake
midagi soolast;something savoury
Mis kooki?;What cake?
pirukas, piruka, pirukat;pie
porgand, porgandi, porgandit;carrot
porgandi/pirukas, porgandi/piruka, porgandi/pirukat;carrot pie
soolane, soolase, soolast;savoury, salty
Sul on kõht tühi.;You are hungry.
šokolaadi/kook, šokolaadi/koogi,šokolaadi/kooki;chocolate cake
tühi, tühja, tühja;empty
õuna/kook, õuna/koogi,õuna/kooki;apple cake
hoopis;instead, quite
isegi;even
juubel, juubeli, juubelit;anniversary, jubilee
kaaluma, kaalu/da, kaalu/n;to weigh
Kas täis/kasvanule või lapsele?;For an adult or for a child?
kringel, kringli, kringlit;sweet-bread
Kui palju see maksab?;How much does this cost?
Kui palju?;How much?
odav, odava, odavat;cheap
odavam;cheaper
Olgu pealegi!;Alright!
selline, sellise, sellist;this kind
sobima, sobi/da, sobi/n;to suit, to fit
sünni/päeva/tort, sünni/päeva/tordi,sünni/päeva/torti;birthday cake
tort, tordi, torti;festive cake
täis/kasvanu, täis/kasvanu, täis/kasvanut;adult
Võib-olla sobiks selline?;How about this one? (lit Maybe this one would suit?)
värske, värske, värsket;fresh , freshly baked
värskem kui;fresher than
ämma juubelile;to mother-in-law's anniversary
hiljem;later
jube kiire;terribly busy
kodus;at home
koju tulema, koju tul/la, tule/n koju;to come home
külaline, külalise, külalist;visitor, guest
läheme restorani;we go to a restaurant
Näeme hiljem!;See you later!
pärast;later, afterwards
trenn, trenni, trenni;workout
tööl olema, tööl ol/la, ole/n tööl;to be at work
hulluks minema, hulluks min/na, lähe/n hulluks;to go mad
Hulluks oled läinud või?;Have you gone mad or what?
kassi/näitus, kassi/näituse, kassi/näitust;cat show
kassi/näitusele;to a cat show
Lähme siis pealegi suvilasse.;Let's go to the summer-house then.
Mis asja?;What?
nagu tavaliselt;as usual
nädala/vahetus , nädala/vahetuse, nädala/vahetust;weekend
nädala/vahetusel;during the weekend
Olgu-olgu.;OK-OK.
See oli nali.;Just joking(lit This was a joke.)
suvila, suvila, suvilat;summer-house
suvilasse;to the summer-house
tavaliselt;usually
öö/klubi, öö/klubi, öö/klubi;night-club
Hurraa!;Hurrah!
laste/aed, laste/aia, laste/aeda;kindergarten
laste/aeda minema, laste/aeda min/na, lähe/n laste/aeda;to go to the kindergarten
looma/aed, looma/aia, looma/aeda;zoo
looma/aeda minema, looma/aeda min/na, lähe/n looma/aeda;to go to the zoo
lähme vee/keskusesse;we go to the water park
Miks?;Why?
rong, rongi, rongi;train
rongiga sõitma;to travel by train
sinuga;with you (sing)
sõidame rongiga;we travel by train
sõitma, sõit/a, sõida/n;to travel, to go, to ride
vee/keskus, vee/keskuse, vee/keskust;water park
aja/leht, aja/lehe, aja/lehte;newspaper
aja/lehte lugema, aja/lehte luge/da,loe/n ajalehte;to read a newspaper
alles;only, still, just
duši all käima, duši all käi/a, käi/n duši all;to have a shower, to take a shower
dušš, duši, dušši;shower
e-kiri, e-kirja, e-kirja;email
e-kirju kirjutama, e-kirju kirjuta/ma, kirjuta/n e-kirju;to write emails
hambaid pesema, hambaid pes/ta, pese/n hambaid;to brush one's teeth
hammas, hamba, hammast;tooth
intervjueerija, intervjueerija, intervjueerijat;interviewer
juuksurisse;to the hairdresser
kaua;for a long time
kell kaksteist;at twelve o'clock
kirjutama, kirjuta/da, kirjuta/n;to write
kolm tassi kohvi;three cups of coffee
koristama, korista/da, korista/n;to tidy
kui aega on;if there's time
käima, käi/a, käi/n;to go, to visit
lugema, luge/da, loe/n;to read
lõunat sööma, lõunat süü/a, söö/n lõunat;to have lunch
magama, maga/da, maga/n;to sleep
